CN0053;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0054;CLINICAS PRIVADAS;YOPAL;CASANARE;Contado
CN0056;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0059;NO DEDICADO A SALUD;BOGOTA;CUNDINAMARCA;Contado
CN0060;CLINICAS PUBLICAS;SANTANDER/C;CAUCA;CREDITO 60 DIAS
CN0063;CLINICAS PUBLICAS;LA CUMBRE/V;VALLE DEL CAUCA;CREDITO 60 DIAS
CN0064;MED LAB OP AMBUL;TULUA;VALLE DEL CAUCA;Contado
CN0065;DISTRIBUIDORES;DOSQUEBRADAS;RISARALDA;Contado
CN0066;CLINICAS PRIVADAS;JAMUNDI/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0068;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0070;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0071;CLINICAS PRIVADAS;PEREIRA;RISARALDA;Contado
CN0072;VETERINARIOS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0073;VETERINARIOS;PALMIRA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0074;NO DEDICADO A SALUD;BOGOTA;CUNDINAMARCA;Contado
CN0075;CLINICAS PRIVADAS;VALLEDUPAR;CESAR;Contado
CN0076;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN0077;DISTRIBUIDORES;PEREIRA;RISARALDA;Contado
CN0078;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0079;ALMACENES DE CADENA;CALI;VALLE DEL CAUCA;Contado
CN0081;NO DEDICADO A SALUD;VALLEDUPAR;CESAR;Contado
CN0083;CLINICAS PUBLICAS;ENVIGADO;ANTIOQUIA;Contado
CN0084;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0085;ALMACENES DE CADENA;BOGOTA;CUNDINAMARCA;Contado
CN0086;CLINICAS PRIVADAS;BOGOTA;CUNDINAMARCA;CREDITO 30 DIAS (CONTADO 3%)
CN0087;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0088;NO DEDICADO A SALUD;CARTAGO;VALLE DEL CAUCA;Contado
CN0089;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0090;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0091;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0092;NO DEDICADO A SALUD;MEDELLIN;ANTIOQUIA;Contado
CN0093;NO DEDICADO A SALUD;ARAUCA;ARAUCA;Contado
CN0095;DISTRIBUIDORES;NULL;NULL;Contado
CN0096;ODONTO CENTRO ODONTO;ARMENIA;QUINDIO;Contado
CN0097;CLINICAS PUBLICAS;RETIRO;ANTIOQUIA;Contado
CN0099;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0100;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0104;DROG FARMACIA Y MISC;EL DOVIO/V;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0109;ALMACENES DE CADENA;CUCUTA;NORTE DE SANTANDER;Contado
CN0110;DISTRIBUIDORES;BOGOTA;CUNDINAMARCA;Contado
CN0112;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0114;MED LAB OP AMBUL;IBAGUE;TOLIMA;Contado
CN0115;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0116;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0117;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0120;DROG FARMACIA Y MISC;CERRITO/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0121;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0124;DROG FARMACIA Y MISC;YOTOCO/V;VALLE DEL CAUCA;Contado
CN0126;CLINICAS PRIVADAS;PEREIRA;RISARALDA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0128;NO DEDICADO A SALUD;LETICIA;AMAZONAS;Contado
CN0129;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS, 30 DIAS 3%, 12 DIAS 5%
CN0130;CLINICAS PRIVADAS;PUERTO ASIS;PUTUMAYO;Contado
CN0131;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0132;DROG FARMACIA Y MISC;EL CHARCO;NARINO;Contado
CN0133;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0134;DROG FARMACIA Y MISC;LA CUMBRE;VALLE DEL CAUCA;Contado
CN0135;DROG FARMACIA Y MISC;BUENAVENTURA;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0136;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0137;NO DEDICADO A SALUD;MANIZALES;CALDAS;Contado
CN0138;NO DEDICADO A SALUD;BUCARAMANGA;SANTANDER;Contado
CN0139;DISTRIBUIDORES;MEDELLIN;ANTIOQUIA;Contado
CN0140;NO DEDICADO A SALUD;YOPAL;CASANARE;Contado
CN0142;NO DEDICADO A SALUD;PASTO;NARINO;Contado
CN0143;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0146;DISTRIBUIDORES;PUERTO ASIS;PUTUMAYO;Contado
CN0148;NO DEDICADO A SALUD;SAN PEDRO;VALLE DEL CAUCA;Contado
CN0149;NO DEDICADO A SALUD;BOGOTA;CUNDINAMARCA;Contado
CN0150;ALMACENES DE CADENA;CALI;VALLE DEL CAUCA;Contado
CN0151;DISTRIBUIDORES;VILLAVICENCIO;META;Contado
CN0152;DISTRIBUIDORES;BARRANQUILLA;ATLANTICO;Contado
CN0153;DISTRIBUIDORES;MANIZALES;CALDAS;Contado
CN0156;ALMACENES DE CADENA;ARMENIA;QUINDIO;Contado
CN0157;DROG FARMACIA Y MISC;VIJES/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0158;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0159;CLINICAS PRIVADAS;MANIZALES;CALDAS;Contado
CN0160;DISTRIBUIDORES;GINEBRA;VALLE DEL CAUCA;Contado
CN0160;DISTRIBUIDORES;GINEBRA;VALLE DEL CAUCA;Contado
CN0162;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN0163;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0165;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0166;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0167;MED LAB OP AMBUL;POPAYAN;CAUCA;Contado
CN0168;NO DEDICADO A SALUD;PASTO;NARINO;Contado
CN0169;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0170;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0173;MED LAB OP AMBUL;BARRANQUILLA;ATLANTICO;Contado
CN0174;NO DEDICADO A SALUD;AGUSTIN CODAZZI;CESAR;Contado
CN0175;CLINICAS PRIVADAS;BOGOTA;CUNDINAMARCA;CREDITO 60 DIAS
CN0176;DROG FARMACIA Y MISC;CARTAGO/V;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0177;NO DEDICADO A SALUD;YOPAL;CASANARE;Contado
CN0179;DROG FARMACIA Y MISC;ANDALUCIA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0182;NO DEDICADO A SALUD;MEDELLIN;ANTIOQUIA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0186;MED LAB OP AMBUL;PUTUMAYO;NULL;Contado
CN0188;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN0190;DROG FARMACIA Y MISC;SONSO/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0191;NO DEDICADO A SALUD;PASTO;NARINO;CREDITO 30 DIAS 3%
CN0192;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0193;NO DEDICADO A SALUD;PROVIDENCIA;SAN ANDRES;Contado
CN0194;CLINICAS PRIVADAS;BUGA;VALLE DEL CAUCA;Contado
CN0195;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0196;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0198;NO DEDICADO A SALUD;BOGOTA;CUNDINAMARCA;Contado
CN0201;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0202;DISTRIBUIDORES;TULUA;VALLE DEL CAUCA;Contado
CN0204;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN0205;DISTRIBUIDORES;BOGOTA;CUNDINAMARCA;Contado
CN0205;DISTRIBUIDORES;BOGOTA, DISTRITO CAPITAL;BOGOTA;Contado
CN0206;CLINICAS PUBLICAS;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS
CN0207;NO DEDICADO A SALUD;PUERTO TEJADA;CAUCA;Contado
CN0209;VETERINARIOS;CALI;VALLE DEL CAUCA;Contado
CN0210;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0211;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0212;NO DEDICADO A SALUD;BUENAVENTURA;VALLE DEL CAUCA;Contado
CN0214;CLINICAS PRIVADAS;CARTAGENA;BOLIVAR;Contado
CN0215;NO DEDICADO A SALUD;BUGA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0216;NO DEDICADO A SALUD;TUQUERRES;NARINO;Contado
CN0223;DROG FARMACIA Y MISC;TUQUERRES/N;NARINO;CREDITO 30 DIAS 5%
CN0224;CLINICAS PRIVADAS;CARTAGENA;BOLIVAR;CREDITO 30 DIAS 5%
CN0226;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0227;CLINICAS PUBLICAS;CAICEDONIA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0229;CLINICAS PUBLICAS;CALI;VALLE DEL CAUCA;Contado
CN0230;CLINICAS PUBLICAS;YOTOCO/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0232;CLINICAS PUBLICAS;ROLDANILLO/V;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN0234;CLINICAS PUBLICAS;LA UNION/VALLE;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0236;CLINICAS PUBLICAS;GUADALAJARA DE BUGA;VALLE DEL CAUCA;Contado
CN0238;CLINICAS PUBLICAS;VERSALLES/V;VALLE DEL CAUCA;CREDITO 60 DIAS
CN0239;CLINICAS PUBLICAS;CERRITO/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0240;CLINICAS PRIVADAS;CARTAGENA;BOLIVAR;Contado
CN0240;CLINICAS PRIVADAS;CARTAGENA;BOLIVAR;Contado
CN0242;CLINICAS PUBLICAS;GUACARI/V;VALLE DEL CAUCA;Contado
CN0243;CLINICAS PUBLICAS;EL DOVIO/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0246;MED LAB OP AMBUL;BUGA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0247;NO DEDICADO A SALUD;YUMBO;VALLE DEL CAUCA;Contado
CN0249;NO DEDICADO A SALUD;CAMPOALEGRE;HUILA;Contado
CN0250;CLINICAS PRIVADAS;IBAGUE;TOLIMA;CREDITO 30 DIAS 5%
CN0252;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 90 DIAS
CN0253;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 90 DIAS
CN0257;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0257;DISTRIBUIDORES;CALI;VALLE DEL RIO CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0259;CLINICAS PRIVADAS;MANIZALEZ;CALDAS;Contado
CN0260;DISTRIBUIDORES;MEDELLIN;ANTIOQUIA;Contado
CN0262;NO DEDICADO A SALUD;RIONEGRO;ANTIOQUIA;Contado
CN0264;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN0266;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN0267;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0268;DISTRIBUIDORES;ENVIGADO;ANTIOQUIA;Contado
CN0269;VETERINARIOS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0270;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0273;CLINICAS PRIVADAS;CARTAGO/V;VALLE DEL CAUCA;Contado
CN0275;CLINICAS PUBLICAS;CARTAGO;VALLE DEL CAUCA;Contado
CN0277;DISTRIBUIDORES;BUGA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0277;DISTRIBUIDORES;BUGA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0281;IPS,CL, CTR MED PRIV;PASTO;NARINO;CREDITO 90 DIAS, 30 DIAS 3%
CN0282;CLINICAS PRIVADAS;ENVIGADO;ANTIOQUIA;Contado
CN0283;MED LAB OP AMBUL;LA ESTRELLA;ANTIOQUIA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0287;MED LAB OP AMBUL;SOLEDAD;ATLANTICO;Contado
CN0288;NO DEDICADO A SALUD;BOGOTA;CUNDINAMARCA;Contado
CN0289;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0291;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0295;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0296;NO DEDICADO A SALUD;SANTANDER DE QUILICHAO;CAUCA;Contado
CN0299;CLINICAS PRIVADAS;GUADALAJARA DE BUGA;VALLE DEL CAUCA;CREDITO 60 DIAS
CN0302;MED LAB OP AMBUL;PALMIRA/V;NULL;CONTADO - CONTRA ENTREGA
CN0304;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0305;ALMACENES DE CADENA;MEDELLIN;ANTIOQUIA;Contado
CN0306;DISTRIBUIDORES;MOCOA;PUTUMAYO;Contado
CN0307;NO DEDICADO A SALUD;BARRANQUILLA;ATLANTICO;Contado
CN0308;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 3%, CONTADO 5%
CN0309;CLINICAS PRIVADAS;VILLAVICENCIO;META;CREDITO 90 DIAS
CN0310;DROG FARMACIA Y MISC;BUENAVENTURA;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0311;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0313;CLINICAS PRIVADAS;APARTADO;ANTIOQUIA;Contado
CN0314;NO DEDICADO A SALUD;BOGOTA;BOGOTA;CREDITO 60 DIAS - 30 DIAS 3%
CN0316;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0317;DISTRIBUIDORES;BARRANQUILLA;ATLANTICO;Contado
CN0318;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0320;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0321;NO DEDICADO A SALUD;GARZON;HUILA;Contado
CN0321;NO DEDICADO A SALUD;GARZON;HUILA;Contado
CN0322;CLINICAS PRIVADAS;PEREIRA;RISARALDA;Contado
CN0322;CLINICAS PRIVADAS;PEREIRA;RISARALDA;Contado
CN0323;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0323;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0325;DROG FARMACIA Y MISC;CORINTO;CAUCA;Contado
CN0325;DROG FARMACIA Y MISC;CORINTO;CAUCA;Contado
CN0328;NO DEDICADO A SALUD;BARAYA;HUILA;Contado
CN0328;NO DEDICADO A SALUD;BARAYA;HUILA;Contado
CN0329;DROG FARMACIA Y MISC;PEREIRA;RISARALDA;Contado
CN0329;DROG FARMACIA Y MISC;PEREIRA;RISARALDA;Contado
CN0330;NO DEDICADO A SALUD;MEDELLIN;ANTIOQUIA;Contado
CN0330;NO DEDICADO A SALUD;MEDELLIN;ANTIOQUIA;Contado
CN0331;DROG FARMACIA Y MISC;BUENAVENTURA;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0333;NO DEDICADO A SALUD;MEDELLIN;ANTIOQUIA;Contado
CN0334;CLINICAS PRIVADAS;BUENAVENTURA;VALLE DEL CAUCA;Contado
CN0334;CLINICAS PRIVADAS;BUENAVENTURA;VALLE DEL RIO CAUCA;Contado
CN0335;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN0336;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS
CN0339;DISTRIBUIDORES;BOGOTA;BOGOTA;Contado
CN0340;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0342;VETERINARIOS;BUGA/V;VALLE DEL CAUCA;Contado
CN0343;DISTRIBUIDORES;BOGOTA, DISTRITO CAPITAL;CUNDINAMARCA;Contado
CN0343;DISTRIBUIDORES;BOGOTA, DISTRITO CAPITAL;BOGOTA;Contado
CN0344;NO DEDICADO A SALUD;VALLEDUPAR;CESAR;Contado
CN0344;NO DEDICADO A SALUD;VALLEDUPAR;CESAR;Contado
CN0345;NO DEDICADO A SALUD;ISNOS;HUILA;Contado
CN0345;NO DEDICADO A SALUD;ISNOS;HUILA;Contado
CN0346;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0347;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0347;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0348;NO DEDICADO A SALUD;HOBO;HUILA;Contado
CN0348;NO DEDICADO A SALUD;HOBO;HUILA;Contado
CN0349;CLINICAS PRIVADAS;PASTO;NARINO;Contado
CN0349;CLINICAS PRIVADAS;PASTO;NARINO;Contado
CN0350;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN0353;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0353;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0354;NO DEDICADO A SALUD;SAN JUAN DEL CESAR;LA GUAJIRA;Contado
CN0354;NO DEDICADO A SALUD;SAN JUAN DEL CESAR;LA GUAJIRA;Contado
CN0355;NO DEDICADO A SALUD;MONTENEGRO;QUINDIO;Contado
CN0355;NO DEDICADO A SALUD;MONTENEGRO;QUINDIO;Contado
CN0356;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0356;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0357;NO DEDICADO A SALUD;ACEVEDO;HUILA;Contado
CN0357;NO DEDICADO A SALUD;ACEVEDO;HUILA;Contado
CN0359;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0359;NO DEDICADO A SALUD;NEIVA;HUILA;Contado
CN0360;CLINICAS PRIVADAS;SANTANDER DE QUILICHAO;CAUCA;Contado
CN0360;CLINICAS PRIVADAS;SANTANDER DE QUILICHAO;CAUCA;Contado
CN0361;DISTRIBUIDORES;BOGOTA;BOGOTA;Contado
CN0361;DISTRIBUIDORES;BOGOTA;BOGOTA;Contado
CN0362;DROG FARMACIA Y MISC;FLORIDA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0364;NO DEDICADO A SALUD;SUAZA;HUILA;Contado
CN0364;NO DEDICADO A SALUD;SUAZA;HUILA;Contado
CN0365;DISTRIBUIDORES;EL CERRITO;VALLE DEL CAUCA;Contado
CN0365;DISTRIBUIDORES;EL CERRITO;VALLE DEL CAUCA;Contado
CN0366;CLINICAS PRIVADAS;BOGOTA, DISTRITO CAPITAL;BOGOTA;CREDITO 90 DIAS, 30 DIAS 5%
CN0366;CLINICAS PRIVADAS;BOGOTA, DISTRITO CAPITAL;BOGOTA;CREDITO 90 DIAS, 30 DIAS 5%
CN0367;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Contado
CN0368;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN0368;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN0369;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0369;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0370;NO DEDICADO A SALUD;CALI;NULL;Contado
CN0370;NO DEDICADO A SALUD;CALI;NULL;Contado
CN0372;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;Contado
CN0372;NO DEDICADO A SALUD;CALI;VALLE DEL RIO CAUCA;Contado
CN0373;OCASION PACIEN PARTI;CALI;VALLE DEL CAUCA;Contado
CN0373;OCASION PACIEN PARTI;CALI;VALLE DEL RIO CAUCA;Contado
CN0374;NO DEDICADO A SALUD;BOGOTA;BOGOTA;Contado
CN0374;NO DEDICADO A SALUD;BOGOTA, DISTRITO CAPITAL;BOGOTA;Contado
CN0375;DISTRIBUIDORES;CALI;NULL;Contado
CN0375;DISTRIBUIDORES;CALI;VALLE DEL RIO CAUCA;Contado
CN0376;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0377;DISTRIBUIDORES;PASTO;NARINO;Contado
CN0377;DISTRIBUIDORES;PASTO;BOGOTA;Contado
CN0378;DROG FARMACIA Y MISC;BUENAVENTURA;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN0379;OCASION PACIEN PARTI;BOGOTA, DISTRITO CAPITAL;NULL;Contado
CN0379;OCASION PACIEN PARTI;BOGOTA, DISTRITO CAPITAL;BOGOTA;Contado
CN0380;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN0381;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN0382;NO DEDICADO A SALUD;AIPE;HUILA;Contado
CN0382;NO DEDICADO A SALUD;AIPE;HUILA;Contado
CN0383;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0383;CLINICAS PRIVADAS;CALI;VALLE DEL RIO CAUCA;Contado
CN0384;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0384;CLINICAS PRIVADAS;CALI;VALLE DEL RIO CAUCA;Contado
CN0387;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0387;CLINICAS PRIVADAS;CALI;VALLE DEL RIO CAUCA;Contado
CN0388;DROG FARMACIA Y MISC;VILLAGORGONA/V;VALLE DEL CAUCA;CREDITO 30 DIAS
CN0389;MED LAB OP AMBUL;BOGOTA, DISTRITO CAPITAL;NULL;CREDITO 60 DIAS
CN0389;MED LAB OP AMBUL;BOGOTA, DISTRITO CAPITAL;BOGOTA;CREDITO 60 DIAS
CN0390;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0390;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0391;OCASION PACIEN PARTI;CALI;VALLE DEL CAUCA;Contado
CN0391;OCASION PACIEN PARTI;CALI;VALLE DEL RIO CAUCA;Contado
CN0392;CLINICAS PRIVADAS;CALI;VALLE DEL CAUCA;Contado
CN0392;CLINICAS PRIVADAS;CALI;VALLE DEL RIO CAUCA;Contado
CN0393;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS - 30 DIAS 3%
CN0394;DISTRIBUIDORES;pereira;NULL;CONTADO 3%
CN0394;DISTRIBUIDORES;PEREIRA;RISARALDA;CONTADO 3%
